INPUT,,MONOISOTOPIC_MASS,BIOCONCENTRATION_FACTOR_TEST_PRED,BOILING_POINT_DEGC_TEST_PRED,48HR_DAPHNIA_LC50_MOL/L_TEST_PRED,DENSITY_G/CM^3_TEST_PRED,DEVTOX_TEST_PRED,96HR_FATHEAD_MINNOW_MOL/L_TEST_PRED,FLASH_POINT_DEGC_TEST_PRED,MELTING_POINT_DEGC_TEST_PRED,AMES_MUTAGENICITY_TEST_PRED,ORAL_RAT_LD50_MOL/KG_TEST_PRED,SURFACE_TENSION_DYN/CM_TEST_PRED,THERMAL_CONDUCTIVITY_MW/(M*K)_TEST_PRED,TETRAHYMENA_PYRIFORMIS_IGC50_MOL/L_TEST_PRED,VISCOSITY_CP_CP_TEST_PRED,VAPOR_PRESSURE_MMHG_TEST_PRED,WATER_SOLUBILITY_MOL/L_TEST_PRED,ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED,BIOCONCENTRATION_FACTOR_OPERA_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,BOILING_POINT_DEGC_OPERA_PRED,HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED,OPERA_KM_DAYS_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,MELTING_POINT_DEGC_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED,WATER_SOLUBILITY_MOL/L_OPERA_PRED
Metobromuron,55.7,258.00039,-,299.682,-,1.458,0.594,-,67.467,96.013,0.739,0.0031769,-,-,-,-,2.54E-06,1.32E-03,1.03E-11,7.36035,3.53653,3.23E+02,1.10E-09,0.0707061,9.78496,126.185,2.37832,9.50E+01,3.01E-06,0.0012897
Metolcarb,35.1,165.07898,6.15177,2.16E+02,3.86E-05,1.157,7.77E-01,5.51E-05,128.295,75.959,-0.039,-,36.199,-,-,-,0.001,1.73E-02,2.18E-11,18.5253,3.5338,2.69E+02,5.22E-09,0.0976887,7.43527,106.061,1.70217,77.007,0.0010776,0.015776
Metoxuron,93.8,228.06656,12.7938,313.269,0.000208,1.246,0.679,0.000123,159.545,123.383,0.122,0.0100693,-,-,-,1.36E+01,2.46E-07,4.05E-04,1.30E-11,42.5586,4.30019,3.23E+02,8.23E-10,0.0831536,9.96594,52.5977,1.63854,1.27E+02,3.19E-05,0.0027881
Metribuzin,63.9,214.08883,-,-,6.11E-06,1.17,0.056,-,-,126.564,0.63,0.0042658,-,-,-,-,-,8.51E-03,1.89E-11,3.32533,3.75993,3.00E+02,1.22E-08,0.100676,7.51384,51.3347,1.70002,1.26E+02,4.39E-07,0.0051996
Mevinphos,74.9,224.04498,-,2.61E+02,1.81E-07,1.205,0.71,0.0002173,124.132,-3.108,4.08E-01,2.43E-05,33.463,-,0.0021184,-,0.0009683,1.79E-01,3.77E-11,0.957636,4.13852,2.51E+02,1.29E-09,0.30501,6.68338,8.05956,0.129756,17.3728,0.0001258,3.17499
Molinate,44.7,187.10309,-,-,7.30E-05,1.049,0.726,-,125.358,27.57,0.294,0.004529,-,-,-,-,0.0081096,2.64E-03,2.67E-11,25.6166,3.69337,2.35E+02,4.05E-06,0.0831248,6.6655,83.465,3.2091,70.5421,0.0055975,0.0053626
Monocrotophos,89.1,223.06096,1.11686,2.95E+02,1.91E-07,1.184,0.746,0.0005212,137.795,5.614,5.64E-01,4.20E-05,-,156.133,0.0049888,1.35E+01,5.73E-05,3.85E-01,2.77E-11,0.922318,4.13837,3.02E+02,2.28E-10,0.252442,8.5795,1.00779,-0.199428,5.50E+01,2.19E-06,4.17057
Monolinuron,56.2,214.05091,-,285.537,-,1.348,0.499,-,65.112,98.021,0.604,0.005212,-,-,-,-,3.18E-06,1.56E-03,1.02E-11,14.1791,3.54194,3.01E+02,1.29E-09,0.0681522,9.23183,125.967,2.29701,81.6197,0.0001473,0.0034246
Monuron,69.2,198.05599,11.1173,2.83E+02,3.92E-05,1.272,0.568,0.0001618,150.328,123.863,0.014,0.0035727,-,-,-,9.98E+00,1.60E-06,7.24E-04,1.23E-11,35.0194,5.19492,3.00E+02,1.64E-09,0.0805551,9.30031,88.8744,1.94076,1.70E+02,4.99E-07,0.0012454
Myclobutanil,76.2,288.11417,103.514,3.97E+02,7.93E-06,1.248,5.54E-01,1.66E-05,246.156,95.825,0.709,0.0057677,-,-,-,-,1.26E-07,3.83E-05,1.66E-11,33.7376,3.35398,3.39E+02,3.18E-07,2.23048,8.99596,501.959,2.9395,1.53E+02,1.96E-07,0.000481
Naptalam,55.6,291.08954,6.71429,476.076,0.0001315,1.362,9.37E-01,5.42E-06,247.243,231.037,0.397,0.0190108,-,-,6.65E-05,-,2.40E-10,4.48E-05,9.28E-12,45.7943,15.169,2.97E+02,2.68E-10,0.327203,9.42461,2185.62,3.07383,1.85E+02,7.47E-10,0.0006829
Neburon,66.9,274.06397,36.2243,3.36E+02,9.57E-06,1.272,8.10E-01,6.14E-06,171.399,126.926,0.074,0.0098855,-,-,-,2.47E+01,5.37E-08,5.75E-05,1.47E-11,50.26,3.35035,3.29E+02,3.37E-10,0.258955,11.1244,2511.12,4.09907,1.02E+02,8.02E-08,1.78E-05
Nitenpyram,90.7,270.08835,-,-,6.38E-05,1.308,0.809,-,153.969,107.866,0.864,0.0042954,-,-,-,29.7852,-,2.22E-02,1.36E-11,43.3016,4.49762,3.11E+02,1.04E-08,2.1132,7.51232,268.598,-0.658499,8.28E+01,8.31E-12,2.55514
Norflurazon,80.4,303.03862,-,3.55E+02,1.07E-05,1.501,9.41E-01,3.91E-07,164.816,180.204,0.227,0.0101391,-,-,-,-,7.08E-07,9.06E-05,2.70E-11,22.9098,3.54622,3.16E+02,1.11E-09,0.363065,6.63767,1901.56,2.37755,1.84E+02,2.93E-08,0.0001014
Nuarimol,67.6,314.06222,199.067,3.99E+02,1.52E-05,1.405,8.43E-01,5.41E-06,242.961,153.569,0.138,0.0039084,-,1.36E+02,1.94E-05,-,6.00E-08,7.66E-05,1.51E-11,101.898,5.22413,3.34E+02,1.83E-09,1.63281,11.1931,245.109,3.18022,1.26E+02,3.38E-09,8.29E-05
Ofurace,62.2,281.08187,-,3.70E+02,6.22E-05,1.223,8.10E-01,4.33E-05,235.35,66.994,0.467,0.0056234,-,-,8.49E-05,5.50E+01,4.67E-07,1.31E-03,2.17E-11,17.434,4.45612,3.38E+02,4.91E-10,0.186898,10.1791,132.359,1.39108,1.45E+02,1.51E-07,0.0005183
Omethoate,17.7,213.02247,0.47863,-,3.18E-06,1.204,0.871,0.0004797,130.19,22.301,0.279,0.0002931,-,-,-,-,7.19E-05,1.08E-01,1.44E-11,1.06282,3.54975,3.08E+02,2.05E-09,0.0863043,9.59107,9.92123,-0.738029,-2.79E+01,2.48E-05,0.469928
Oryzalin,53.3,346.09471,13.4896,-,-,1.397,1.213,-,272.11,163.447,-0.039,0.0124165,-,-,-,-,1.07E-07,7.31E-06,1.69E-11,2.34495,3.53535,2.98E+02,2.90E-10,0.699862,10.7158,2504.16,3.7247,1.41E+02,2.89E-09,1.42E-05
Oxadiazon,34.5,344.06945,94.189,3.57E+02,1.12E-07,1.306,8.74E-01,3.02E-07,230.44,125.45,0.434,0.0017989,-,-,-,-,8.81E-08,8.67E-06,1.38E-11,1202.29,4.78346,3.44E+02,7.95E-08,5.87101,9.29562,3232.19,4.79797,9.00E+01,1.12E-07,1.96E-06
Oxadixyl,85.8,278.12666,7.60326,-,3.67E-05,1.208,9.30E-01,2.55E-05,176.042,104.988,0.129,0.0028973,-,-,-,-,2.01E-07,3.94E-03,1.88E-11,6.4141,4.29109,3.58E+02,1.82E-09,0.202831,9.21127,194.861,0.800557,1.04E+02,2.50E-08,0.0122874
Oxfendazole,91.1,315.06776,3.25087,-,1.17E-05,1.605,9.96E-01,1.29E-05,283.902,200.478,-,-,-,-,-,-,-,1.94E-03,1.37E-11,5.17577,3.54062,2.97E+02,7.58E-11,1.0418,9.57479,460.439,1.84434,2.34E+02,1.20E-10,4.16E-05
Oxyfluorfen,22.9,361.03287,320.627,3.67E+02,2.75E-06,1.453,8.64E-01,3.59E-07,198.745,88.374,0.253,0.0087498,-,-,-,-,2.26E-07,3.34E-06,1.37E-11,12848.1,3.54301,3.58E+02,3.28E-06,0.657309,8.95531,99588.3,4.72975,8.40E+01,2.01E-07,3.16E-07
Paclobutrazol,70.7,293.12949,59.5662,3.39E+02,3.65E-05,1.257,5.02E-01,3.53E-05,233.074,120.052,0.328,0.0100925,-,-,-,-,2.02E-07,1.29E-04,1.67E-11,108.674,3.17758,3.22E+02,1.90E-07,2.69826,10.4006,500.194,3.20214,1.65E+02,7.69E-09,0.0001028
Parathion ethyl,53.8,291.03303,68.0769,-,1.21E-08,1.342,6.40E-01,4.93E-06,173.876,17.534,5.27E-01,1.32E-05,-,-,-,-,1.55E-05,7.94E-05,1.59E-11,97.8499,4.78024,3.75E+02,2.98E-07,0.390345,9.3349,1581.93,3.82965,6.29E+00,6.69E-06,4.38E-05
Parathion-methyl,64.6,263.00173,50.3501,-,2.21E-08,1.403,6.79E-01,9.68E-06,159.88,18.96,0.789,0.0001189,-,-,-,-,4.72E-05,2.06E-04,1.25E-11,84.94,4.99917,3.46E+02,1.01E-07,3.53404,8.20928,998.772,2.86214,3.54E+01,3.53E-06,0.0001733
Penconazol,78.9,283.0643,121.619,3.43E+02,2.19E-05,1.212,5.05E-01,4.45E-06,195.536,89.655,0.358,0.0068549,-,-,-,-,3.09E-07,7.38E-05,1.67E-11,55.3332,3.35553,3.17E+02,4.11E-05,15.4708,8.62039,907.911,4.4311,5.85E+01,2.77E-06,0.0002581
Pencycuron,59.1,328.13424,63.2412,4.06E+02,2.19E-06,1.239,8.52E-01,2.59E-06,243.06,148.461,0.07,0.0013583,-,-,-,6.40E+01,2.40E-09,9.59E-06,1.71E-11,369.043,3.3583,3.51E+02,4.96E-12,1.08551,10.3715,1898.98,4.81569,1.30E+02,3.79E-12,9.17E-07
Phosalone,39.3,366.98687,53.3335,-,1.82E-09,1.447,5.78E-01,2.00E-06,225.419,63.828,0.702,0.0008035,-,-,-,-,8.09E-08,8.65E-06,1.71E-11,499.214,94.7555,4.17E+02,2.00E-07,1.6824,11.6888,426.685,4.38002,4.78E+01,1.23E-07,6.05E-06
Phosphamidon,71.2,299.06894,2.96483,3.30E+02,1.40E-07,1.187,0.495,0.0001035,164.846,-2.322,2.31E-01,5.62E-05,-,154.757,0.003013,1.13E+01,1.40E-05,4.40E-03,1.84E-11,1.34892,4.13848,3.23E+02,1.23E-09,0.394692,9.78149,7.11083,0.79,-4.49E+01,1.66E-05,3.30755
Picloram,20.7,239.92601,1.23595,346.13,0.0001637,1.699,0.504,0.0001726,194.591,239.345,0.343,0.0132739,-,-,0.0012388,-,2.22E-07,4.76E-04,8.15E-12,2.72427,4.09513,2.96E+02,6.90E-10,0.29306,8.1492,19.9741,1.89926,2.18E+02,7.23E-11,0.0017871
Picolinafen,14.3,376.08349,106.66,4.05E+02,3.99E-06,1.455,9.54E-01,1.91E-07,259.123,124.9,0.29,0.00877,-,-,-,-,3.21E-08,6.32E-07,1.51E-11,54.4382,3.5496,3.73E+02,1.67E-08,0.231747,10.548,1635.6,4.67277,1.92E+02,5.15E-09,1.26E-07
Pirimicarb,69.7,238.14298,4.68813,3.17E+02,5.13E-06,1.134,0.873,0.0001288,159.4,92.423,0.68,0.0004529,-,-,-,-,2.09E-05,5.57E-03,1.53E-11,6.82077,3.81633,3.10E+02,3.22E-09,0.603817,8.63262,79.5512,1.6979,9.05E+01,7.27E-06,0.0116253
Pirimiphos methyl,44.6,305.0963,62.6614,-,1.08E-08,1.203,6.20E-01,1.79E-05,179.777,9.683,0.348,0.0012331,-,-,-,-,8.89E-05,1.07E-04,1.73E-11,11.5293,4.73242,3.38E+02,3.46E-07,2.04367,10.8223,998.039,4.19741,1.50E+01,1.50E-05,3.61E-05
Pretilachlor,60,311.16521,49.204,3.42E+02,1.56E-05,1.09,6.21E-01,6.82E-06,220.41,9.288,0.42,0.0065013,-,1.48E+02,1.06E-05,3.84E+01,2.04E-06,2.08E-04,2.00E-11,92.1725,4.66338,3.26E+02,8.31E-09,0.48651,10.8342,461.19,4.07913,1.51E+00,1.01E-06,0.0001608
Prochloraz,78.4,375.03081,137.721,4.08E+02,2.63E-05,1.394,9.44E-01,3.65E-06,258.841,118.826,0.235,0.0038194,-,-,8.53E-06,-,1.08E-07,3.04E-04,1.75E-11,105.224,4.90556,3.36E+02,1.93E-07,1.93675,11.7577,502.528,4.0983,4.81E+01,1.13E-06,8.34E-05
Procymidone,21.3,283.01668,184.927,3.86E+02,1.18E-06,1.363,9.07E-01,1.71E-06,213.37,146.006,0.704,0.0140281,-,-,-,-,9.71E-08,4.61E-05,1.10E-11,50.5954,3.64163,3.60E+02,2.15E-07,0.341263,9.74814,1514.88,3.081,165.845,1.38E-04,1.30E-05
Profenofos,66.3,371.93514,55.0808,-,1.44E-08,1.482,6.15E-01,2.34E-07,195.068,29.598,0.137,0.0004498,-,-,-,-,2.44E-06,5.18E-05,1.64E-11,1512.91,3.35498,3.64E+02,8.84E-06,0.48992,10.3592,1072.3,4.68106,4.06E+01,9.08E-07,7.45E-05
Promecarb,62.2,207.12593,6.74528,3.00E+02,2.79E-06,1.025,9.05E-01,1.85E-05,128.248,73.912,0.611,0.0005248,-,-,0.0001107,2.89E+01,6.52E-05,1.02E-03,1.41E-11,9.4768,4.44947,2.80E+02,1.44E-08,0.253581,9.28185,299.294,3.0966,8.65E+01,3.03E-05,0.0004425
Prometon,96.4,225.15896,7.8886,3.30E+02,9.71E-05,1.135,0.947,0.0001,173.179,117.416,0.106,0.0026915,-,-,-,-,7.52E-07,4.01E-03,1.54E-11,3.054,3.81693,3.36E+02,3.00E-08,0.114479,8.41333,397.963,2.99119,9.17E+01,2.30E-06,0.0030475
Prometryn,64.9,241.13612,9.35406,-,4.86E-05,1.165,5.70E-01,4.10E-05,186.492,90.639,0.177,0.0075858,-,-,-,-,9.59E-07,3.23E-04,1.54E-11,12.3274,4.74669,3.39E+02,2.31E-08,0.144942,9.11123,707.421,3.51124,1.19E+02,1.24E-06,0.0001107
Propachlor,48.6,211.07639,20.797,3.01E+02,4.19E-05,1.068,0.777,0.0001276,142.634,54.531,0.347,0.0016181,-,145.07,0.0002138,8.85116,0.0001009,1.57E-03,1.45E-11,55.3695,4.4824,2.92E+02,1.24E-07,0.211775,7.38327,262.891,2.18155,76.9232,0.0002313,0.0032045
Propamocarb,36.6,188.15248,1.66341,2.37E+02,2.67E-05,0.993,0.652,0.0001828,120.78,32.48,0.49,0.0254683,-,-,0.0031842,5.55904,0.0004753,4.38E-02,2.68E-11,2.83071,4.29068,2.27E+02,1.48E-09,0.314162,8.37583,308.284,1.12112,91.7842,0.0001261,4.60874
Propanil,82.5,217.00612,16.9824,3.26E+02,3.08E-05,1.329,6.88E-01,2.75E-05,156.52,110.059,-0.006,0.003767,-,142.44,0.0001622,4.42E+01,2.65E-06,4.48E-04,1.30E-11,69.1099,3.51639,3.51E+02,1.84E-09,0.154615,9.10379,148.212,3.07062,9.22E+01,9.02E-07,0.0007156
Propaquizafop,18.9,443.1248,42.3643,-,1.97E-06,-,0.61,-,-,92.254,0.483,-,-,-,-,-,5.66E-09,2.50E-06,3.97E-11,80.0297,4.62974,3.69E+02,2.92E-08,10.0775,11.6878,81867.5,4.59943,6.64E+01,3.33E-12,1.42E-06
Propazine,73.2,229.10942,13.3352,3.19E+02,9.51E-05,1.214,6.95E-01,6.62E-05,175.28,147.593,0.045,0.006368,-,155.801,-,-,5.93E-07,3.56E-04,1.39E-11,13.2902,4.96923,3.38E+02,1.23E-08,0.127087,8.41215,250.555,2.93139,2.13E+02,1.32E-07,3.75E-05
Propiconazole,65.7,341.06978,102.094,3.66E+02,3.37E-05,1.383,4.84E-01,3.61E-05,253.742,91.615,0.333,0.0040551,-,-,-,-,7.08E-08,1.92E-04,1.67E-11,45.7486,4.24505,3.50E+02,3.83E-06,5.00852,10.203,2451.91,3.71704,8.26E+01,4.20E-07,0.0003554
Propisochlor,69.3,283.13391,34.1193,3.42E+02,1.62E-05,1.086,6.77E-01,1.68E-05,208.824,13.236,0.403,0.0037154,-,1.42E+02,2.81E-05,4.24E+01,6.15E-06,5.69E-04,1.96E-11,74.0744,4.89955,2.86E+02,1.01E-08,0.151144,9.38799,209.914,3.4991,2.05E+01,2.98E-05,0.0004596
Propoxur,41.6,209.10519,4.9545,2.85E+02,4.55E-06,1.082,6.84E-01,3.78E-05,142.63,84.049,0.614,0.0009886,-,-,0.0004121,1.61E+01,3.06E-05,2.52E-03,1.51E-11,8.30227,4.64523,2.88E+02,1.42E-09,0.0960024,9.21559,46.9061,1.52408,8.70E+01,9.66E-06,0.0088806
Propyzamid,63.2,255.02177,-,339.245,-,1.16,5.74E-01,8.38E-06,150.569,109.469,0.667,0.0070632,-,-,2.19E-05,-,3.64E-06,1.69E-04,9.72E-12,69.4172,3.31044,3.12E+02,4.22E-10,0.0880102,9.61752,203.736,3.42858,1.55E+02,4.36E-07,4.99E-05
Proquinazid,11.7,372.03347,27.3527,-,-,1.502,0.698,-,208.872,121.903,-,-,-,-,-,-,2.19E-05,5.42E-04,1.39E-11,24.2133,3.35916,3.60E+02,1.62E-08,0.137766,9.61668,789.125,3.02271,1.51E+02,8.52E-07,8.65E-05
Prosulfocarb,35,251.13439,19.9526,-,9.08E-06,1.077,0.152,-,154.67,31.465,0.226,0.0069984,-,-,-,-,7.59E-05,6.61E-05,1.52E-11,39.3411,3.35196,2.98E+02,1.10E-08,0.528841,8.66749,1531.42,4.6431,6.89E+01,5.30E-07,5.24E-05
Prosulfuron,67.7,419.08751,1.15345,-,-,1.559,1.087,-,303.758,174.4,-,0.0170608,-,-,-,-,5.45E-11,1.05E-04,1.39E-11,2.59172,5.68618,2.65E+02,2.47E-11,0.15587,9.503,75.0078,1.89079,1.80E+02,1.14E-11,0.0008137
Pyraclostrobin,56.4,387.09858,-,465.144,-,1.41,0.41,-,176.408,102.24,0.587,-,-,-,-,-,1.50E-09,2.09E-05,1.75E-11,174.446,5.15004,3.36E+02,1.49E-07,1.7981,11.7081,1622.29,3.98987,1.16E+02,8.48E-09,4.91E-06
Pyridaben,28.5,364.13761,-,4.22E+02,6.25E-07,1.215,1.52E-01,3.86E-08,191.181,148.682,0.255,0.0015417,-,-,-,-,8.67E-08,5.85E-07,2.39E-11,599.033,13.0229,3.65E+02,5.25E-08,0.638193,10.3163,2224.03,6.3671,1.11E+02,1.18E-06,4.47E-08
Pyridaphenthion,72.4,340.06467,29.4442,-,3.13E-08,1.306,7.51E-01,3.48E-06,201.829,53.294,0.173,0.0013062,-,-,-,-,2.04E-07,1.06E-04,2.90E-11,4.69515,4.76507,3.60E+02,3.58E-10,0.199763,10.4521,380.06,3.20093,5.49E+01,1.12E-08,0.0002937
Pyrimethanil,67.3,199.11095,15.8489,331.186,0.0001067,1.133,5.31E-01,6.86E-05,172.026,130.022,0.486,0.0065615,-,144.891,0.0001811,-,3.59E-06,1.11E-03,1.82E-11,15.2147,4.31527,3.24E+02,1.38E-07,0.806753,10.4063,736.665,2.84142,9.64E+01,1.64E-05,0.000598
Pyriproxifen,2,321.13649,133.352,3.90E+02,6.93E-07,1.19,5.93E-01,7.26E-07,218.188,65.829,0.473,-,-,1.43E+02,4.45E-06,-,1.62E-07,1.08E-06,1.75E-11,535.644,3.64818,3.76E+02,6.21E-06,1.02455,10.3268,8779.75,4.19946,4.63E+01,2.17E-06,1.15E-06
Pyroquilon,52.9,173.08406,9.01571,308.299,0.0002275,1.211,0.74,0.0001384,153.907,102.201,0.443,0.0033266,-,147.347,0.000811,3.63E+01,2.38E-05,8.43E-03,1.40E-11,5.65417,3.55013,2.90E+02,6.37E-08,5.66043,7.38282,376.853,1.57221,1.12E+02,1.21E-06,0.0228683
Quinalphos,51.5,298.0541,90.3649,-,1.77E-08,1.261,6.11E-01,6.71E-06,190.327,27.546,0.275,0.0002523,-,-,-,-,3.81E-06,5.19E-05,1.76E-11,18.8105,4.75471,3.59E+02,3.55E-07,2.77504,10.8496,245.529,4.43787,3.16E+01,2.60E-06,6.69E-05
Quinmerac,75.4,221.02436,3.99945,354.411,0.0001186,1.425,7.48E-01,6.84E-05,183.228,195.238,0.024,0.0095719,-,-,0.0001679,-,1.13E-06,1.41E-03,1.34E-11,3.24059,3.53479,3.12E+02,1.56E-09,0.152922,9.52237,1169.75,0.787403,2.44E+02,9.44E-07,0.0213086
Quinoclamine,59.3,207.00871,3.89045,3.48E+02,1.02E-05,1.416,8.52E-01,8.04E-06,143.647,177.594,0.97,0.0010617,-,1.46E+02,4.65E-06,1.67E+01,5.82E-06,7.53E-04,5.53E-12,3.18848,4.05522,3.15E+02,2.53E-07,0.0942695,8.73402,1178.7,2.11697,1.99E+02,4.50E-07,0.000101
Quinoxyfen,12,306.9967,1081.43,3.70E+02,5.89E-07,1.497,6.21E-01,5.25E-07,197.258,127,0.401,0.0032137,-,1.27E+02,3.38E-06,-,3.21E-07,6.18E-07,1.10E-11,613.86,3.54895,3.73E+02,1.92E-06,1.08746,9.86724,6921.85,4.65989,1.07E+02,1.49E-07,2.38E-07
Quizalofop-P-ethyl,29.8,372.08768,130.918,4.24E+02,4.40E-07,1.359,6.53E-01,5.32E-07,260.324,96.914,0.411,0.0023442,-,1.42E+02,3.88E-06,-,1.11E-08,1.11E-06,1.34E-11,189.347,4.88654,3.91E+02,4.80E-08,0.935208,11.757,514.833,4.27839,8.43E+01,6.49E-09,1.02E-06
Rotenone,45,394.14164,35.8096,5.23E+02,2.37E-06,1.293,8.63E-01,9.82E-08,235.279,175.545,0.333,0.0007096,-,-,-,-,1.18E-10,2.48E-05,1.24E-10,25.7136,3.36189,4.26E+02,1.81E-09,0.257335,11.695,10020,4.09762,1.76E+02,1.67E-10,1.29E-05
Simazine,75,201.07812,4.14,310.031,0.0001084,1.261,0.449,0.0001517,174.941,160.157,0.305,0.006223,-,161.05,-,-,3.83E-07,1.20E-03,1.10E-11,3.64252,3.65866,3.34E+02,1.86E-08,0.11486,8.35592,126.139,2.18007,2.26E+02,2.24E-08,4.30E-05
Simetryn,66.9,213.10482,4.65586,326.414,0.0001324,1.193,5.66E-01,9.84E-05,186.804,94.639,0.176,0.005781,-,-,-,-,7.73E-07,1.80E-03,1.79E-11,4.56322,3.35858,3.42E+02,1.84E-08,0.134104,9.02266,199.694,2.79824,9.61E+01,1.60E-06,0.0020861
Spinosyn A,106.8,731.46085,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.63E-11,10.5419,77.8933,4.72E+02,1.43E-08,1.16055,11.6734,87538,3.84501,1.23E+02,1.66E-10,2.01E-05
Spinosyn D,56.6,745.4765,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.66E-11,27.3712,141.585,4.73E+02,1.39E-08,1.16926,11.6733,86979.7,3.89775,1.23E+02,1.65E-10,2.03E-05
Spiromesifen,24.7,370.21441,-,4.23E+02,7.67E-07,1.054,6.77E-01,1.57E-06,214.192,120.916,0.338,0.0063974,-,-,-,-,2.19E-08,3.90E-06,3.26E-11,153.788,3.35752,3.68E+02,1.45E-08,1.0732,11.7354,5511.98,4.54555,1.16E+02,3.84E-07,3.55E-07
Spiroxamine,34.9,297.26678,150.314,2.79E+02,1.35E-05,0.899,0.305,0.0001393,147.923,40.222,0.242,0.0067298,30.824,1.36E+02,9.53E-06,1.33E+01,7.30E-05,2.40E-04,1.65E-11,35.4985,15.2027,3.21E+02,7.64E-07,6.64561,8.97018,1720.95,4.61567,-7.11871,0.0001274,0.0014529
Sulcotrione,58.8,328.01722,2.68534,371.194,0.0004207,1.477,8.97E-01,1.06E-05,250.23,122.75,0.218,-,-,-,3.22E-05,-,1.05E-07,3.93E-04,6.99E-11,4.85751,3.3484,4.01E+02,5.44E-09,1.51451,10.5718,191.053,1.43848,1.39E+02,3.74E-08,0.0010901
Sulfometuron methyl,98.5,364.08414,0.907821,-,-,1.474,1.056,-,300.484,198.015,0.116,-,-,-,-,-,2.21E-11,4.06E-04,1.82E-11,3.45095,4.28794,2.64E+02,6.51E-10,0.155478,9.515,41.7074,1.20019,2.04E+02,2.45E-11,0.0004595
Sulfotep,38.7,322.02274,-,-,8.22E-10,1.24,-,1.11E-05,-,-29.072,4.91E-01,9.42E-05,-,-,-,-,0.0003236,2.39E-04,3.18E-11,4.25529,77.2595,3.36E+02,4.34E-07,1.01121,10.5718,421.644,3.98834,16.5943,1.05E-04,6.46E-05
Tebuconazole,82.6,307.14514,49.204,3.45E+02,3.13E-05,1.249,4.83E-01,1.32E-05,237.471,113.611,0.499,0.0101391,-,-,-,-,9.29E-08,8.93E-05,2.31E-11,243.765,3.17728,3.22E+02,3.10E-07,5.87665,10.6451,994.153,3.69972,1.02E+02,1.29E-08,0.0001168
Tebufenpyrad,42.2,333.16079,114.288,4.18E+02,2.54E-05,1.191,5.22E-01,8.32E-07,270.393,102.149,-0.123,0.0044978,-,-,-,-,6.00E-08,1.63E-05,1.74E-11,14.1904,3.35154,3.42E+02,1.53E-10,1.14043,10.7141,799.499,4.60966,6.16E+01,9.00E-07,7.53E-06
Tebuthiuron,69.7,228.10448,9.18333,340.382,0.0001172,1.306,0.583,-,200.928,121.539,-,0.0068865,-,-,-,-,5.64E-07,4.09E-03,1.78E-11,3.67787,4.69326,3.23E+02,1.20E-10,0.125541,10.158,67.7834,1.78757,1.68E+02,2.00E-06,0.0108377
Teflubenzuron,37.7,379.97425,63.8263,4.46E+02,4.84E-06,1.756,1.02E+00,5.09E-07,267.105,201.919,0.472,0.0017338,-,-,-,-,1.06E-08,8.53E-08,1.43E-11,43.7991,3.53463,2.54E+02,1.10E-11,0.699002,9.43441,1625.12,4.55737,2.22E+02,6.05E-12,3.69E-08
Tembotrione,66.1,440.03082,5.98412,3.93E+02,1.55E-05,1.543,7.52E-01,1.85E-06,276.993,114.486,0.341,-,-,-,-,-,5.66E-08,4.50E-05,6.26E-11,1.56205,3.54933,4.21E+02,6.54E-10,6.48822,11.5884,96.6012,1.92557,8.38E+01,3.11E-08,0.0640127
Temephos,15.4,465.98973,-,-,-,1.387,-,2.53E-06,236.421,13.32,0.485,0.0006353,-,-,-,-,-,8.30E-07,2.34E-11,64.7444,12.9114,4.57E+02,3.64E-06,0.914422,11.6779,99859,5.95756,3.00E+01,1.66E-08,8.98E-08
Tepraloxydim,71.4,341.13939,9.95405,-,6.64E-05,-,0.769,-,-,84.15,0.246,0.0057016,-,-,-,-,4.97E-07,1.11E-04,1.14E-10,19.7592,3.35636,3.33E+02,2.82E-09,0.497024,9.94637,2504.59,3.6877,9.79E+01,1.35E-06,0.0012579
Terbumeton,63.7,225.15896,7.46449,3.24E+02,6.73E-05,1.225,0.957,0.0001242,179.183,122.371,0.274,0.0026424,-,-,-,-,7.89E-07,3.84E-03,1.55E-11,6.43678,3.81781,3.36E+02,3.00E-08,0.114405,8.41762,383.307,3.09994,1.23E+02,2.01E-06,0.0006118
Terbuthylazine,70.5,229.10942,11.4815,3.19E+02,7.69E-05,1.234,0.726,0.0001047,178.469,165.673,0.205,0.0049204,-,153.089,-,-,9.00E-07,3.37E-04,1.10E-11,15.8961,4.04673,3.38E+02,1.23E-08,0.126138,8.41645,209.524,3.20992,1.78E+02,1.10E-06,3.51E-05
